Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_26_213.jpg;0;1;0;2.093707;101.2826;88.0322;1.306816;56.63137;-0.001181904
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_26_279.jpg;0;1;0;2.153802;101.3542;88.13987;1.306579;56.62012;-0.001180222
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_26_346.jpg;0;1;0;2.197858;101.4519;88.28694;1.312799;56.60638;-0.001230691
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_26_414.jpg;0;1;0;2.242082;101.527;88.39979;1.316508;56.59371;-0.001239019
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_26_479.jpg;1.495402;1;0;2.299923;101.6034;88.51485;1.317406;56.61162;-0.001293809
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_26_546.jpg;4.520568;1;0;2.343731;101.7051;88.67307;1.314607;57.08633;-0.001731455
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_26_613.jpg;7.49209;1;0;2.38612;101.7797;88.79599;1.300658;57.86388;0.02884307
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_26_679.jpg;4.536109;0.8029346;0;2.426547;101.8544;88.92137;1.276361;58.62743;0.04733063
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_26_746.jpg;1.531865;0.6026517;0;2.469272;101.9552;89.09062;1.224167;59.20055;0.03655634
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_26_813.jpg;0;0.3989927;0;2.491383;102.0319;89.21844;1.183393;59.29146;0.01778328
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_26_879.jpg;0;0.2005061;0;2.504893;102.1088;89.34646;1.126296;59.29366;8.099074E-05
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_26_946.jpg;2.998369;0.0006148741;0;2.504333;102.209;89.51728;0.9977456;59.54545;0.01738405
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_27_013.jpg;6.000119;0;0;2.496495;102.2806;89.64572;0.8517683;60.11867;0.08759039
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_27_079.jpg;5.99193;0;0;2.483586;102.3489;89.77459;0.6682432;60.97358;0.2103501
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_27_145.jpg;3.001585;0;0;2.476189;102.4164;89.90295;0.4651358;61.62408;0.3291603
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_27_213.jpg;3.107185;0;0;2.468661;102.5059;90.07326;0.1821035;62.10076;0.4666986
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_27_279.jpg;6.063281;0;0;2.459606;102.5699;90.20168;359.9641;62.70166;0.6123737
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_27_346.jpg;9.100706;0;0;2.444872;102.6511;90.37534;359.7638;63.96963;0.8197825
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_27_413.jpg;12.09501;0;0;2.431575;102.708;90.5078;359.6982;65.27319;0.98531
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_27_480.jpg;15;0;0;2.418014;102.7618;90.64299;359.7644;66.8278;1.107827
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_27_546.jpg;11.96661;0;0;2.400851;102.8286;90.82722;0.04871967;68.93332;1.14946
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_27_613.jpg;9.000851;0;0;2.385278;102.8746;90.96265;0.07673335;70.32346;1.085933
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_27_679.jpg;6.00432;0;0;2.381112;102.9175;91.09701;0.000862805;71.35345;1.001207
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_27_747.jpg;2.996154;0;0;2.372132;102.9731;91.27631;359.9051;72.17452;0.8880118
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_27_812.jpg;0;0;0;2.36448;103.0153;91.41014;359.8304;72.38774;0.768323
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_27_879.jpg;1.498241;0;0;2.356328;103.0571;91.54362;359.7561;72.49893;0.6454298
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_27_945.jpg;4.506652;0;0;2.345457;103.0968;91.6773;359.6891;72.84373;0.5602573
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_28_013.jpg;7.507844;0;0;2.336123;103.1449;91.85627;359.6164;73.84438;0.5385806
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_28_079.jpg;10.49558;0;0;2.32578;103.1763;91.99116;359.5799;75.00008;0.5983973
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_28_146.jpg;10.42231;0;0;2.309901;103.2125;92.17201;359.5828;76.86175;0.734082
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_28_213.jpg;7.462421;0;0;2.300908;103.2383;92.30859;359.6609;77.98979;0.7771602
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_28_279.jpg;10.53276;0;0;2.287887;103.2609;92.44577;359.7762;79.13285;0.8318064
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_28_345.jpg;13.43439;0;0;2.275369;103.2777;92.58285;359.8858;80.62585;0.9644076
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_28_413.jpg;15;0;0;2.261842;103.2929;92.76487;0.02871999;83.04888;1.164078
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_28_479.jpg;15;0;0;2.248624;103.3011;92.89829;-0.003747463;84.89605;1.156334
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_28_545.jpg;11.98018;0;0;2.237877;103.3046;93.03172;359.9844;86.58493;1.115193
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_28_613.jpg;9.018573;0;0;2.230976;103.3048;93.20959;359.9907;88.36061;1.064162
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_28_679.jpg;12.05357;0;0;2.220132;103.3008;93.34243;-0.001529631;89.68226;1.071046
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_28_746.jpg;15;0;0;2.208088;103.2884;93.51767;359.9907;91.88815;1.132854
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_28_814.jpg;11.99878;0;0;2.197979;103.2755;93.64829;-0.003955056;93.49506;1.133872
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_28_879.jpg;8.968358;0;0;2.187805;103.2608;93.77824;-0.00512669;94.82645;1.087397
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_28_946.jpg;6.021501;0;0;2.181694;103.2388;93.95054;359.9778;96.10776;1.004025
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_29_013.jpg;-1.529207;0;0;2.174335;103.2249;94.07937;359.9414;96.27457;0.8655415
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_29_079.jpg;-4.517417;0;0;2.163155;103.2131;94.20776;359.8876;95.97025;0.6738524
D:\Udacity\Robotics\Term1\IMG\robocam_2018_11_14_07_04_29_145.jpg;-7.472627;0;0;2.153646;103.2043;94.33569;359.8218;95.28809;0.4201105
